match_round,home_team,away_team,ht_sentiment,at_sentiment
4,Cardiff,Arsenal,0.1887733442081268,0.34780806215677723
4,Chelsea,Bournemouth,0.19314692802408326,0.20253205054640427
4,Crystal Palace,Southampton,0.17282194464486136,0.24431217376587747
4,Everton,Huddersfield,0.19998785796604596,0.14787387295348045
4,Leicester,Liverpool,0.20754632296466977,0.16956749892260378
4,Manchester City,Newcastle,0.2787711070605807,0.023115843454385117
4,Watford,Tottenham,0.22062761920673224,0.11888848194488434
4,West Ham,Wolves,0.11023995215311001,0.18939819109461967
5,Bournemouth,Leicester,0.23343127615591758,0.17816181158148228
5,Chelsea,Cardiff,0.18711344006649036,0.3043281024531024
5,Everton,West Ham,0.19282136367453834,0.03951497186436946
5,Huddersfield,Crystal Palace,0.225216736587965,0.21402895527217405
5,Manchester City,Fulham,0.22717611392936077,0.255000404040404
5,Newcastle,Arsenal,0.22235829132654517,0.27630446989837393
5,Southampton,Brighton,0.17792817231483277,0.2820068823510044
5,Tottenham,Liverpool,0.10999367944583993,0.20440450744081787
5,Watford,Manchester Utd,0.24212145728632783,0.2661927548431173
5,Wolves,Burnley,0.22959237686916253,0.3142377508854782
6,Arsenal,Everton,0.2968854173758744,0.20286533583214073
6,Brighton,Tottenham,0.21523923093367528,0.17578273765314212
6,Burnley,Bournemouth,0.23148929773929774,0.3265362671748541
6,Cardiff,Manchester City,0.22335978835978834,0.1540430946368446
6,Crystal Palace,Newcastle,0.22159420532761237,0.14283751090466926
6,Fulham,Watford,0.2711835057110178,0.2478943065603995
6,Leicester,Huddersfield,0.14294514077446774,0.2259897140399858
6,Liverpool,Southampton,0.22718130583955037,0.17860124328874333
6,Manchester Utd,Wolves,0.240776805834533,0.255380204354469
6,West Ham,Chelsea,0.24257966570466571,0.17408921087777462
7,Arsenal,Watford,0.19955360093301092,0.204557677066068
7,Bournemouth,Crystal Palace,0.270940647455799,0.1842177134915444
7,Cardiff,Burnley,0.19296971414828562,0.3557098765432099
7,Chelsea,Liverpool,0.248791841325818,0.18564932305729587
7,Everton,Fulham,0.22015084940108232,0.2743956701757839
7,Huddersfield,Tottenham,0.23912442906455525,0.1396346252378861
7,Manchester City,Brighton,0.2424300301770539,0.2517192760942761
7,Newcastle,Leicester,0.11848208860896832,0.15588220598845598
7,West Ham,Manchester Utd,0.22794983951233955,0.1457256963584272
7,Wolves,Southampton,0.2693408301674431,0.18464898708738636
8,Brighton,West Ham,0.20037386162300155,0.25584848831723833
8,Burnley,Huddersfield,0.24166827000160335,0.25825354549963925
8,Crystal Palace,Wolves,0.1420992559260103,0.2369384344947695
8,Fulham,Arsenal,0.13533354759994104,0.32229465584245465
8,Leicester,Everton,0.24963856625549524,0.1394934975995746
8,Liverpool,Manchester City,0.15711185738375283,0.2295752465127465
8,Manchester Utd,Newcastle,0.15546848508286387,0.13448243961473907
8,Southampton,Chelsea,0.215228123709915,0.24307332031021547
8,Tottenham,Cardiff,0.10711150192400185,0.16777491849714066
8,Watford,Bournemouth,0.2720377496274725,0.15064863468252773
9,Arsenal,Leicester,0.3563442865284461,0.30996713664422004
9,Bournemouth,Southampton,0.17392705308053416,0.19449625656147393
9,Cardiff,Fulham,0.3170382164132164,0.30833570493292717
9,Chelsea,Manchester Utd,0.23163070410944567,0.2247116323041974
9,Everton,Crystal Palace,0.25860035410619064,0.18391957029241512
9,Huddersfield,Liverpool,0.14505807732793566,0.2129757388380254
9,Manchester City,Burnley,0.2374141278047529,0.22910984848484847
9,Newcastle,Brighton,0.18531508113446188,0.1770976385229103
9,West Ham,Tottenham,0.1444653781273499,0.1892911133536134
9,Wolves,Watford,0.2474423216256199,0.21285757671411076
10,Brighton,Wolves,0.2021268705253081,0.24254287668350175
10,Burnley,Chelsea,0.29535855448898923,0.24643597306782347
10,Crystal Palace,Arsenal,0.11989498156164816,0.35258036693431005
10,Fulham,Bournemouth,0.1826199659083998,0.28601053906411056
10,Leicester,West Ham,0.11422356070720553,0.08721449615199615
10,Liverpool,Cardiff,0.2242309396401658,0.270954134599968
10,Manchester Utd,Everton,0.16813745437432923,0.19583470038733186
10,Southampton,Newcastle,0.22580317613674827,0.1417870185370185
10,Tottenham,Manchester City,0.18394187851908447,0.18678196349341208
10,Watford,Huddersfield,0.29349442612394916,0.24822628579640765
11,Arsenal,Liverpool,0.20796085065142172,0.22823202642853072
11,Bournemouth,Manchester Utd,0.20924029788471335,0.1932596577909077
11,Cardiff,Leicester,0.30151455026455026,0.11111718497551833
11,Chelsea,Crystal Palace,0.21579030368460517,0.1585663647052535
11,Everton,Brighton,0.18334256359948053,0.2596197499798457
