match_round,home_team,away_team,tweet_retweets_home,tweet_favorites_home,tweet_retweets_away,tweet_favorites_away,label
21,West Ham,Brighton,403,2139,751,8551,0
21,Wolves,Crystal Palace,913,6804,524,4464,2
22,Brighton,Liverpool,625,5089,1701,12466,2
22,Burnley,Fulham,234,912,834,4062,1
22,Cardiff,Huddersfield,515,3305,760,4792,0
22,Chelsea,Newcastle,3067,12815,595,3731,1
22,Crystal Palace,Watford,470,3347,747,4779,2
22,Everton,Bournemouth,782,4622,1646,12794,1
22,Leicester,Southampton,1083,7127,661,3885,2
22,Manchester City,Wolves,4690,34499,504,4159,1
22,Tottenham,Manchester Utd,2413,15297,13309,91712,2
22,West Ham,Arsenal,713,3842,2858,10088,1
23,Arsenal,Chelsea,5554,22889,3076,16337,1
23,Bournemouth,West Ham,1078,6359,1092,3221,1
23,Fulham,Tottenham,569,2804,1201,8253,2
23,Huddersfield,Manchester City,721,4397,5578,42269,2
23,Liverpool,Crystal Palace,1357,10649,1120,9867,1
23,Manchester Utd,Brighton,4382,32173,780,6028,1
23,Newcastle,Cardiff,695,3509,891,4317,1
23,Southampton,Everton,402,4681,804,5962,1
23,Watford,Burnley,896,5312,150,483,0
23,Wolves,Leicester,723,5143,1111,5366,1
24,Arsenal,Cardiff,2806,11240,1188,6164,1
24,Bournemouth,Chelsea,934,5437,2038,12024,1
24,Fulham,Brighton,508,3060,341,4260,1
24,Huddersfield,Everton,673,5787,1774,5858,2
24,Liverpool,Leicester,2666,14136,898,4255,0
24,Manchester Utd,Burnley,5919,30078,221,927,0
24,Newcastle,Manchester City,1353,4727,5361,34181,1
24,Southampton,Crystal Palace,820,7425,495,3734,0
24,Tottenham,Watford,1088,5607,671,4464,1
24,Wolves,West Ham,439,4995,517,3389,1
25,Brighton,Watford,898,6085,590,3512,0
25,Burnley,Southampton,969,4205,222,2767,0
25,Cardiff,Bournemouth,5615,27221,1274,8489,1
25,Chelsea,Huddersfield,2375,11549,443,5032,1
25,Crystal Palace,Fulham,659,3313,851,5531,1
25,Everton,Wolves,1317,6724,511,5664,2
25,Leicester,Manchester Utd,1200,8174,17888,118842,2
25,Manchester City,Arsenal,5095,53449,2585,14188,1
25,Tottenham,Newcastle,1814,8643,1008,6258,1
25,West Ham,Liverpool,575,3586,1280,7335,0
26,Brighton,Burnley,535,6208,189,569,2
26,Crystal Palace,West Ham,1315,7643,990,3809,0
26,Fulham,Manchester Utd,793,6601,3531,22500,2
26,Huddersfield,Arsenal,6514,35258,2398,12556,2
26,Liverpool,Bournemouth,2453,15331,1047,8667,1
26,Manchester City,Chelsea,3675,31807,3182,20088,1
26,Southampton,Cardiff,545,5116,2784,13481,2
26,Tottenham,Leicester,1585,10414,375,2962,1
26,Watford,Everton,1210,6307,488,4052,1
26,Wolves,Newcastle,599,5138,560,2955,0
27,Arsenal,Southampton,2005,11933,535,5541,1
27,Bournemouth,Wolves,640,3471,554,5133,0
27,Burnley,Tottenham,254,1108,1548,9691,1
27,Cardiff,Watford,498,2645,576,4413,2
27,Chelsea,Brighton,1521,8125,406,3342,1
27,Everton,Manchester City,1387,7760,2607,19208,2
27,Leicester,Crystal Palace,928,5164,614,4753,2
27,Manchester Utd,Liverpool,5410,39463,1894,10882,0
27,Newcastle,Huddersfield,1721,12599,507,3953,1
27,West Ham,Fulham,363,1395,388,4632,1
28,Arsenal,Bournemouth,10122,97012,1416,6735,1
28,Cardiff,Everton,605,3146,484,3386,2
28,Chelsea,Tottenham,3317,17696,1102,7180,1
28,Crystal Palace,Manchester Utd,571,4816,1932,16810,2
28,Huddersfield,Wolves,423,4091,335,2689,1
28,Leicester,Brighton,516,2873,346,3167,1
28,Liverpool,Watford,1457,8131,1001,8334,1
28,Manchester City,West Ham,7731,53600,443,2544,1
28,Newcastle,Burnley,543,5326,483,2326,1
28,Southampton,Fulham,372,3691,489,3211,1
29,Bournemouth,Manchester City,663,4642,2044,17885,2
29,Brighton,Huddersfield,588,4655,487,6178,1
29,Burnley,Crystal Palace,458,2024,695,6692,2
29,Everton,Liverpool,2508,15929,1885,12143,0
29,Fulham,Chelsea,2044,11851,1715,11950,2
29,Manchester Utd,Southampton,7767,74096,608,7805,1
29,Tottenham,Arsenal,1323,8594,2858,23319,0
29,Watford,Leicester,556,5754,1101,7770,1
29,West Ham,Newcastle,861,2480,2308,5669,1
29,Wolves,Cardiff,498,3776,803,5162,1
30,Arsenal,Manchester Utd,1862,9415,2067,15873,1
30,Cardiff,West Ham,965,4343,306,1588,1
