Date,HomeTeam,AwayTeam,FTHG,FTAG,label,7_day_before_like_x,7_day_before_love_x,7_day_before_wow_x,7_day_before_sorry_x,7_day_before_anger_x,7_day_before_haha_x,7_day_before_like_y,7_day_before_love_y,7_day_before_wow_y,7_day_before_sorry_y,7_day_before_anger_y,7_day_before_haha_y
30/09/2018,Cardiff,Burnley,1,2,2,184.0,10.0,0.0,0.0,2.0,6.0,477.0,24.0,0.0,0.0,9.0,1.0
22/04/2019,Chelsea,Burnley,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1061.0,68.0,2.0,9.0,7.0,15.0
01/12/2018,Crystal Palace,Burnley,2,0,1,407.0,35.0,1.0,0.0,4.0,0.0,271.0,4.0,1.0,2.0,0.0,1.0
03/05/2019,Everton,Burnley,2,0,1,20760.0,558.0,73.0,5.0,72.0,21.0,1870.0,262.0,22.0,36.0,36.0,8.0
26/08/2018,Fulham,Burnley,4,2,1,3248.0,176.0,12.0,3.0,12.0,1.0,2422.0,308.0,5.0,319.0,87.0,19.0
02/01/2019,Huddersfield,Burnley,1,2,2,788.0,139.0,11.0,12.0,93.0,11.0,232.0,30.0,3.0,2.0,8.0,2.0
10/11/2018,Leicester,Burnley,0,0,0,426566.0,43588.0,1038.0,30466.0,279.0,56.0,47131.0,495.0,258.0,14.0,32.0,6.0
10/03/2019,Liverpool,Burnley,4,2,1,37257.0,4349.0,127.0,154.0,675.0,610.0,390.0,14.0,2.0,0.0,3.0,1.0
20/10/2018,Man City,Burnley,5,0,1,10113.0,557.0,82.0,2.0,12.0,1.0,295.0,12.0,0.0,0.0,2.0,1.0
29/01/2019,Man United,Burnley,2,2,0,366785.0,47051.0,2865.0,576.0,7659.0,457.0,774.0,39.0,2.0,0.0,0.0,0.0
26/02/2019,Newcastle,Burnley,2,0,1,3433.0,278.0,6.0,1.0,25.0,34.0,1530.0,126.0,8.0,1.0,4.0,3.0
12/08/2018,Southampton,Burnley,0,0,0,7348.0,657.0,29.0,17.0,49.0,9.0,1752.0,189.0,8.0,10.0,4.0,2.0
15/12/2018,Tottenham,Burnley,1,0,1,4646.0,1080.0,19.0,7.0,79.0,7.0,621.0,79.0,1.0,1.0,1.0,0.0
19/01/2019,Watford,Burnley,0,0,0,979.0,75.0,3.0,69.0,0.0,0.0,556.0,34.0,1.0,0.0,19.0,0.0
03/11/2018,West Ham,Burnley,4,2,1,32206.0,2554.0,45.0,2001.0,41.0,7.0,932.0,82.0,6.0,137.0,15.0,2.0
16/09/2018,Wolves,Burnley,1,0,1,5144.0,858.0,59.0,1.0,47.0,6.0,1160.0,86.0,0.0,1.0,28.0,0.0
29/01/2019,Arsenal,Cardiff,2,1,1,21993.0,1761.0,122.0,392.0,891.0,1584.0,8967.0,1204.0,28.0,5719.0,14.0,9.0
11/08/2018,Bournemouth,Cardiff,2,0,1,2594.0,152.0,17.0,0.0,13.0,1.0,879.0,48.0,2.0,0.0,1.0,1.0
16/04/2019,Brighton,Cardiff,0,2,2,1239.0,79.0,0.0,60.0,20.0,78.0,1091.0,52.0,8.0,139.0,25.0,70.0
13/04/2019,Burnley,Cardiff,2,0,1,625.0,54.0,2.0,0.0,5.0,0.0,196.0,11.0,1.0,0.0,0.0,0.0
15/09/2018,Chelsea,Cardiff,4,1,1,75530.0,3355.0,310.0,25.0,219.0,39.0,1192.0,59.0,31.0,4.0,11.0,1.0
26/12/2018,Crystal Palace,Cardiff,0,0,0,2892.0,384.0,87.0,1.0,31.0,5.0,2103.0,101.0,13.0,102.0,79.0,22.0
24/11/2018,Everton,Cardiff,1,0,1,3453.0,392.0,12.0,1.0,3.0,1.0,756.0,28.0,6.0,0.0,0.0,0.0
27/04/2019,Fulham,Cardiff,1,0,1,3927.0,285.0,31.0,8.0,28.0,0.0,2178.0,146.0,21.0,32.0,83.0,44.0
25/08/2018,Huddersfield,Cardiff,0,0,0,264.0,8.0,0.0,0.0,2.0,4.0,2585.0,170.0,58.0,9.0,9.0,1.0
29/12/2018,Leicester,Cardiff,0,1,2,5602.0,846.0,49.0,7.0,41.0,11.0,3277.0,174.0,14.0,103.0,84.0,21.0
27/10/2018,Liverpool,Cardiff,4,1,1,222706.0,13806.0,1032.0,33.0,263.0,43.0,1941.0,245.0,17.0,1.0,4.0,1.0
03/04/2019,Man City,Cardiff,2,0,1,66427.0,2370.0,251.0,12.0,256.0,36.0,11757.0,1617.0,47.0,118.0,106.0,186.0
12/05/2019,Man United,Cardiff,0,2,2,320552.0,39377.0,1799.0,2073.0,5224.0,4078.0,2864.0,345.0,7.0,27.0,5.0,0.0
19/01/2019,Newcastle,Cardiff,3,0,1,1731.0,81.0,1.0,2.0,14.0,3.0,499.0,4.0,4.0,10.0,15.0,18.0
09/02/2019,Southampton,Cardiff,1,2,2,4718.0,235.0,59.0,114.0,32.0,147.0,17373.0,3679.0,67.0,5755.0,27.0,12.0
06/10/2018,Tottenham,Cardiff,1,0,1,3018.0,188.0,14.0,9.0,1.0,0.0,378.0,23.0,0.0,7.0,0.0,2.0
15/12/2018,Watford,Cardiff,3,2,1,1179.0,33.0,11.0,60.0,16.0,41.0,2823.0,300.0,12.0,0.0,8.0,0.0
04/12/2018,West Ham,Cardiff,3,1,1,2950.0,366.0,32.0,0.0,5.0,5.0,1896.0,195.0,3.0,10.0,14.0,3.0
02/03/2019,Wolves,Cardiff,2,0,1,5816.0,622.0,54.0,110.0,28.0,140.0,1032.0,64.0,5.0,20.0,12.0,23.0
19/01/2019,Arsenal,Chelsea,2,0,1,86866.0,4825.0,265.0,672.0,2666.0,3522.0,0.0,0.0,0.0,0.0,0.0,0.0
30/01/2019,Bournemouth,Chelsea,4,0,1,1624.0,60.0,21.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16/12/2018,Brighton,Chelsea,1,2,2,77.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/10/2018,Burnley,Chelsea,0,4,2,1243.0,139.0,6.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31/03/2019,Cardiff,Chelsea,1,2,2,10403.0,1550.0,39.0,10.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
30/12/2018,Crystal Palace,Chelsea,0,1,2,2587.0,215.0,5.0,5.0,20.0,18.0,6232.0,433.0,15.0,1.0,57.0,3.0
17/03/2019,Everton,Chelsea,2,0,1,5478.0,913.0,24.0,2.0,23.0,1.0,50079.0,3311.0,248.0,362.0,562.0,1568.0
03/03/2019,Fulham,Chelsea,1,2,2,5077.0,264.0,89.0,214.0,388.0,155.0,28791.0,4271.0,118.0,51.0,302.0,73.0
11/08/2018,Huddersfield,Chelsea,0,3,2,817.0,48.0,5.0,1.0,1.0,1.0,129609.0,13995.0,669.0,79.0,3171.0,124.0
12/05/2019,Leicester,Chelsea,0,0,0,31781.0,1638.0,121.0,337.0,48.0,30.0,85235.0,6084.0,327.0,1169.0,725.0,244.0
14/04/2019,Liverpool,Chelsea,2,0,1,118756.0,18340.0,659.0,69.0,388.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
10/02/2019,Man City,Chelsea,6,0,1,269490.0,19463.0,1314.0,173.0,1268.0,7252.0,10883.0,489.0,40.0,0.0,18.0,1.0
28/04/2019,Man United,Chelsea,1,1,0,126784.0,7530.0,546.0,847.0,6716.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2018,Newcastle,Chelsea,1,2,2,3555.0,188.0,8.0,7.0,38.0,27.0,196983.0,13294.0,884.0,73.0,692.0,137.0
07/10/2018,Southampton,Chelsea,0,3,2,2335.0,162.0,5.0,23.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
24/11/2018,Tottenham,Chelsea,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8170.0,1346.0,37.0,6.0,70.0,13.0
26/12/2018,Watford,Chelsea,1,2,2,4209.0,313.0,27.0,3.0,13.0,4.0,12808.0,1241.0,42.0,4.0,93.0,13.0
23/09/2018,West Ham,Chelsea,0,0,0,13640.0,1449.0,85.0,3.0,115.0,5.0,61190.0,4774.0,293.0,13.0,194.0,11.0
05/12/2018,Wolves,Chelsea,2,1,1,1004.0,62.0,31.0,8.0,21.0,3.0,7734.0,982.0,52.0,5.0,29.0,6.0
21/04/2019,Arsenal,Crystal Palace,2,3,2,175471.0,15476.0,1438.0,89.0,639.0,308.0,2054.0,50.0,6.0,195.0,43.0,106.0
01/10/2018,Bournemouth,Crystal Palace,2,1,1,951.0,53.0,6.0,1.0,5.0,0.0,2351.0,133.0,3.0,0.0,23.0,2.0
04/12/2018,Brighton,Crystal Palace,3,1,1,771.0,50.0,2.0,0.0,0.0,0.0,1174.0,102.0,10.0,0.0,13.0,2.0
02/03/2019,Burnley,Crystal Palace,1,3,2,4616.0,284.0,75.0,1.0,8.0,3.0,7513.0,345.0,29.0,5.0,41.0,7.0
04/05/2019,Cardiff,Crystal Palace,2,3,2,2063.0,100.0,16.0,270.0,90.0,123.0,10439.0,275.0,41.0,36.0,28.0,18.0
04/11/2018,Chelsea,Crystal Palace,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2735.0,198.0,15.0,41.0,29.0,7.0
21/10/2018,Everton,Crystal Palace,2,0,1,24115.0,1412.0,117.0,259.0,184.0,5.0,484.0,25.0,2.0,0.0,1.0,0.0
11/08/2018,Fulham,Crystal Palace,0,2,2,3767.0,177.0,38.0,12.0,54.0,2.0,2454.0,159.0,5.0,1.0,16.0,1.0
15/09/2018,Huddersfield,Crystal Palace,0,1,2,541.0,12.0,3.0,0.0,0.0,0.0,1300.0,52.0,1.0,0.0,15.0,1.0
23/02/2019,Leicester,Crystal Palace,1,4,2,681.0,63.0,9.0,3.0,2.0,0.0,3982.0,280.0,15.0,5.0,11.0,2.0
19/01/2019,Liverpool,Crystal Palace,4,3,1,46748.0,6325.0,203.0,94.0,101.0,28.0,987.0,47.0,7.0,0.0,18.0,0.0
22/12/2018,Man City,Crystal Palace,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,762.0,28.0,5.0,2.0,4.0,2.0
24/11/2018,Man United,Crystal Palace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,19.0,1.0,0.0,4.0,0.0
06/04/2019,Newcastle,Crystal Palace,0,1,2,2182.0,112.0,2.0,9.0,3.0,0.0,2422.0,48.0,5.0,181.0,32.0,81.0
30/01/2019,Southampton,Crystal Palace,1,1,0,4738.0,435.0,9.0,2.0,12.0,2.0,5704.0,437.0,46.0,5.0,37.0,19.0
03/04/2019,Tottenham,Crystal Palace,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,483.0,11.0,0.0,0.0,1.0,0.0
26/08/2018,Watford,Crystal Palace,2,1,1,2470.0,119.0,7.0,0.0,2.0,0.0,3073.0,215.0,12.0,45.0,98.0,21.0
08/12/2018,West Ham,Crystal Palace,3,2,1,2489.0,341.0,26.0,0.0,5.0,4.0,1221.0,97.0,11.0,0.0,20.0,2.0
02/01/2019,Wolves,Crystal Palace,0,2,2,7068.0,977.0,97.0,40.0,79.0,6.0,1569.0,81.0,2.0,5.0,15.0,16.0
23/09/2018,Arsenal,Everton,2,0,1,67202.0,5698.0,226.0,48.0,266.0,79.0,13837.0,1014.0,98.0,62.0,357.0,345.0
25/08/2018,Bournemouth,Everton,2,2,0,1320.0,96.0,2.0,1.0,7.0,2.0,16982.0,1795.0,115.0,13.0,484.0,14.0
29/12/2018,Brighton,Everton,1,0,1,145.0,2.0,0.0,0.0,0.0,5.0,8532.0,860.0,125.0,344.0,925.0,1318.0
26/12/2018,Burnley,Everton,1,5,2,930.0,80.0,1.0,0.0,10.0,1.0,5448.0,446.0,100.0,337.0,901.0,1192.0
26/02/2019,Cardiff,Everton,0,3,2,1378.0,58.0,5.0,30.0,29.0,18.0,2287.0,222.0,7.0,0.0,19.0,0.0
11/11/2018,Chelsea,Everton,0,0,0,34570.0,2734.0,283.0,10.0,116.0,16.0,8344.0,633.0,55.0,0.0,41.0,4.0
27/04/2019,Crystal Palace,Everton,0,0,0,20339.0,2545.0,214.0,51.0,3586.0,56.0,135161.0,9551.0,1028.0,88.0,1093.0,126.0
13/04/2019,Fulham,Everton,2,0,1,2661.0,99.0,11.0,5.0,45.0,2.0,85917.0,4501.0,271.0,16.0,257.0,57.0
29/01/2019,Huddersfield,Everton,0,1,2,432.0,38.0,4.0,1.0,0.0,0.0,6113.0,347.0,95.0,222.0,946.0,1024.0
06/10/2018,Leicester,Everton,1,2,2,10295.0,431.0,27.0,88.0,23.0,1.0,6688.0,735.0,59.0,49.0,35.0,217.0
02/12/2018,Liverpool,Everton,1,0,1,9891.0,1403.0,45.0,14.0,36.0,69.0,564.0,50.0,0.0,0.0,10.0,1.0
15/12/2018,Man City,Everton,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,5828.0,831.0,38.0,30.0,27.0,167.0
28/10/2018,Man United,Everton,2,1,1,240500.0,13897.0,1929.0,308.0,830.0,339.0,34214.0,3722.0,162.0,23.0,724.0,11.0
09/03/2019,Newcastle,Everton,3,2,1,2137.0,112.0,0.0,14.0,7.0,4.0,18355.0,2556.0,110.0,11.0,132.0,133.0
19/01/2019,Southampton,Everton,2,1,1,6779.0,705.0,17.0,114.0,48.0,83.0,13582.0,1415.0,55.0,8.0,107.0,136.0
12/05/2019,Tottenham,Everton,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,29300.0,1841.0,99.0,6.0,180.0,2.0
09/02/2019,Watford,Everton,1,0,1,908.0,21.0,4.0,13.0,7.0,4.0,9297.0,746.0,85.0,324.0,872.0,1753.0
30/03/2019,West Ham,Everton,0,2,2,5550.0,415.0,19.0,0.0,11.0,0.0,9727.0,1679.0,21.0,134.0,7.0,1.0
11/08/2018,Wolves,Everton,2,2,0,8674.0,913.0,157.0,6.0,25.0,5.0,28159.0,2479.0,351.0,50.0,704.0,19.0
01/01/2019,Arsenal,Fulham,4,1,1,9529.0,635.0,74.0,536.0,1331.0,2423.0,232.0,1.0,2.0,6.0,0.0,11.0
20/04/2019,Bournemouth,Fulham,0,1,2,720.0,33.0,1.0,0.0,1.0,0.0,7947.0,523.0,40.0,68.0,86.0,6.0
01/09/2018,Brighton,Fulham,2,2,0,662.0,51.0,4.0,0.0,1.0,1.0,5747.0,591.0,28.0,35.0,4.0,0.0
12/01/2019,Burnley,Fulham,2,1,1,1127.0,69.0,7.0,0.0,2.0,2.0,2293.0,70.0,35.0,73.0,266.0,193.0
20/10/2018,Cardiff,Fulham,4,2,1,718.0,30.0,2.0,0.0,0.0,0.0,708.0,25.0,3.0,0.0,0.0,0.0
