match_round,home_team,away_team,team,sentiment_analysis
29,West Brom,Stoke,Stoke,0.27323696145124726
27,QPR,Tottenham,QPR,0.1770261588548626
27,QPR,Tottenham,Tottenham,0.38470510590599877
28,Liverpool,Burnley,Liverpool,0.328195602736044
28,Liverpool,Burnley,Burnley,0.13890782300870025
28,Manchester City,Leicester,Manchester City,0.23955889432451935
28,Manchester City,Leicester,Leicester,0.3051142144892145
28,Newcastle,Manchester Utd,Newcastle,0.43314325225039507
28,Newcastle,Manchester Utd,Manchester Utd,0.28912021641377705
28,QPR,Arsenal,QPR,0.22005214630214637
28,QPR,Arsenal,Arsenal,0.23656817157510188
28,Stoke,Everton,Stoke,0.1715940701659452
28,Stoke,Everton,Everton,0.20034281650660968
28,Tottenham,Swansea,Tottenham,0.31705191145408557
28,Tottenham,Swansea,Swansea,0.2557528409090909
28,West Ham,Chelsea,West Ham,0.1626072720842686
28,West Ham,Chelsea,Chelsea,0.3659840528043652
28,Aston Villa,West Brom,Aston Villa,0.11430935930067875
28,Aston Villa,West Brom,West Brom,0.26927756480467335
28,Hull,Sunderland,Hull,0.07874473368893012
28,Hull,Sunderland,Sunderland,0.21138117283950614
28,Southampton,Crystal Palace,Southampton,0.1283629825036075
28,Southampton,Crystal Palace,Crystal Palace,0.2415665010854155
27,Arsenal,Everton,Arsenal,0.07767019821362232
27,Arsenal,Everton,Everton,0.27197328397612497
27,Liverpool,Manchester City,Liverpool,0.1245786382126093
27,Liverpool,Manchester City,Manchester City,0.22363762894678077
27,Burnley,Swansea,Burnley,0.33913684954501283
27,Burnley,Swansea,Swansea,0.2986228181540681
27,Manchester Utd,Sunderland,Manchester Utd,0.2746154307804124
27,Manchester Utd,Sunderland,Sunderland,0.20735364357864355
27,Newcastle,Aston Villa,Newcastle,0.22799042320526697
27,Newcastle,Aston Villa,Aston Villa,0.22659343434343432
27,Stoke,Hull,Stoke,0.30015828355672103
27,Stoke,Hull,Hull,0.2730445584881069
27,West Brom,Southampton,West Brom,0.23002379564879563
27,West Brom,Southampton,Southampton,0.22203376356154128
27,West Ham,Crystal Palace,West Ham,0.2449103255461014
27,West Ham,Crystal Palace,Crystal Palace,0.3189946563852814
26,Everton,Leicester,Everton,0.27263529151871846
26,Everton,Leicester,Leicester,0.25206376584724793
26,Southampton,Liverpool,Southampton,0.23542769500333421
26,Southampton,Liverpool,Liverpool,0.2721932281566039
26,Tottenham,West Ham,Tottenham,0.23774642024642018
26,Tottenham,West Ham,West Ham,0.242478400169335
26,Aston Villa,Stoke,Aston Villa,0.21017725960907788
26,Aston Villa,Stoke,Stoke,0.17045905483405485
26,Chelsea,Burnley,Chelsea,0.12592101085564097
26,Chelsea,Burnley,Burnley,0.21270021645021642
26,Crystal Palace,Arsenal,Crystal Palace,0.21989468864468867
26,Crystal Palace,Arsenal,Arsenal,0.25539640772826283
26,Hull,QPR,Hull,0.06256470232276684
26,Hull,QPR,QPR,0.3194532484711056
26,Manchester City,Newcastle,Manchester City,0.17266625041625047
26,Manchester City,Newcastle,Newcastle,0.3469078421578422
26,Sunderland,West Brom,Sunderland,0.2825311147186147
26,Sunderland,West Brom,West Brom,0.23344248324650876
26,Swansea,Manchester Utd,Swansea,0.1033008658008658
26,Swansea,Manchester Utd,Manchester Utd,0.2521848220861893
25,Chelsea,Everton,Chelsea,0.24171622075479507
25,Chelsea,Everton,Everton,0.27236189413515
25,Crystal Palace,Newcastle,Crystal Palace,0.3020513376840221
25,Crystal Palace,Newcastle,Newcastle,0.14170537217412219
25,Manchester Utd,Burnley,Manchester Utd,0.07693965268567869
25,Manchester Utd,Burnley,Burnley,0.13643735893735898
25,Southampton,West Ham,Southampton,0.21304417354764582
25,Southampton,West Ham,West Ham,0.22422808739973263
25,Stoke,Manchester City,Stoke,0.2572600457932091
25,Stoke,Manchester City,Manchester City,0.14342968252343258
25,West Brom,Swansea,West Brom,0.2784436124197154
25,West Brom,Swansea,Swansea,0.3207664442039442
25,Arsenal,Leicester,Arsenal,0.2144490208692947
25,Arsenal,Leicester,Leicester,0.18723330681664022
25,Hull,Aston Villa,Hull,0.241651621736849
25,Hull,Aston Villa,Aston Villa,0.21502757784384294
25,Liverpool,Tottenham,Liverpool,0.2593467682966905
25,Liverpool,Tottenham,Tottenham,0.32003234016831333
25,Sunderland,QPR,Sunderland,0.20598265568853805
25,Sunderland,QPR,QPR,0.1658871622985137
24,Burnley,West Brom,Burnley,0.18159704685746353
24,Burnley,West Brom,West Brom,0.12351450594442319
24,Newcastle,Stoke,Newcastle,0.2630913978494624
24,Newcastle,Stoke,Stoke,0.3505742034895999
24,West Ham,Manchester Utd,West Ham,0.23235032747424994
24,West Ham,Manchester Utd,Manchester Utd,0.27821795541623123
24,Aston Villa,Chelsea,Aston Villa,0.08624317097044368
24,Aston Villa,Chelsea,Chelsea,0.4442474733809961
24,Everton,Liverpool,Everton,0.2970478308116177
24,Everton,Liverpool,Liverpool,0.2658082820266153
24,Leicester,Crystal Palace,Leicester,0.2981593605324075
24,Leicester,Crystal Palace,Crystal Palace,0.33793481691919197
24,Manchester City,Hull,Manchester City,0.3356950548049033
24,Manchester City,Hull,Hull,0.3040470421391474
24,QPR,Southampton,QPR,0.1640006120596009
24,QPR,Southampton,Southampton,0.291591954447068
24,Swansea,Sunderland,Swansea,0.39659708498023705
24,Swansea,Sunderland,Sunderland,0.31370791304507145
24,Tottenham,Arsenal,Tottenham,0.30617709926791964
24,Tottenham,Arsenal,Arsenal,0.23869485798980403
23,Arsenal,Aston Villa,Arsenal,0.3390930882308498
23,Arsenal,Aston Villa,Aston Villa,0.2717149864024864
23,Southampton,Swansea,Southampton,0.20203142536475868
23,Southampton,Swansea,Swansea,0.18645728114478113
23,Chelsea,Manchester City,Chelsea,0.18861861761070622
23,Chelsea,Manchester City,Manchester City,0.20587104720676147
23,Crystal Palace,Everton,Crystal Palace,0.2827106094963238
23,Crystal Palace,Everton,Everton,0.2955964852205086
23,Hull,Newcastle,Hull,0.1781858881858882
23,Hull,Newcastle,Newcastle,0.13017368048618044
23,Liverpool,West Ham,Liverpool,0.25345152455081255
23,Liverpool,West Ham,West Ham,0.1857467532467533
23,Manchester Utd,Leicester,Manchester Utd,0.2847896882869309
23,Manchester Utd,Leicester,Leicester,0.21034659784659787
23,Stoke,QPR,Stoke,0.27599920334295336
23,Stoke,QPR,QPR,0.15358257370452497
23,Sunderland,Burnley,Sunderland,0.19897924698297834
23,Sunderland,Burnley,Burnley,0.28058047903275174
23,West Brom,Tottenham,West Brom,0.2610464015151515
23,West Brom,Tottenham,Tottenham,0.2503925492610838
22,Everton,West Brom,Everton,0.23623293509322923
22,Everton,West Brom,West Brom,0.1490788288168803
22,Manchester City,Arsenal,Manchester City,0.3486562457520337
22,Manchester City,Arsenal,Arsenal,0.2992410525269807
22,West Ham,Hull,West Ham,0.2219133445106806
22,West Ham,Hull,Hull,0.3014117826617827
22,Aston Villa,Liverpool,Aston Villa,0.22104093858976676
22,Aston Villa,Liverpool,Liverpool,0.2594210822510823
22,Burnley,Crystal Palace,Burnley,0.18007955833848696
22,Burnley,Crystal Palace,Crystal Palace,0.34680850836406385
22,Leicester,Stoke,Leicester,0.25028617216117216
22,Leicester,Stoke,Stoke,0.27531965058750785
22,Newcastle,Southampton,Newcastle,0.27595871505755226
22,Newcastle,Southampton,Southampton,0.2074932068379649
22,QPR,Manchester Utd,QPR,0.28058878256246683
22,QPR,Manchester Utd,Manchester Utd,0.21508038927866507
22,Swansea,Chelsea,Swansea,0.2528521825396825
22,Swansea,Chelsea,Chelsea,0.25984564694564694
22,Tottenham,Sunderland,Tottenham,0.20499169743655035
22,Tottenham,Sunderland,Sunderland,0.1796816852737906
21,Arsenal,Stoke,Arsenal,0.26280165990875054
21,Arsenal,Stoke,Stoke,0.10634631741339058
21,Manchester Utd,Southampton,Manchester Utd,0.30521409356021917
21,Manchester Utd,Southampton,Southampton,0.24584274666305914
21,Burnley,QPR,Burnley,0.30142676767676774
21,Burnley,QPR,QPR,0.252679391315755
21,Chelsea,Newcastle,Chelsea,0.33445752064737116
