post_id,like,love,wow,haha,sorry,anger
10156571594181277,2923,138,22,9,2,3
"10156571381416277"",""10156571098431277",0,0,0,0,0,0
10156571357331277,4806,176,13,10,8,18
10156570813981277,5457,138,8,10,4,3
10156569513491277,0,0,0,0,0,0
10156568088091277,1100,29,0,7,0,0
10156568029041277,2817,328,36,0,0,0
10156567412116277,1160,23,5,1,0,0
10156566768841277,4030,94,4,7,0,0
10156566013706277,1139,156,3,0,0,1
2707194909317107,172,56,1,0,0,1
10156565040466277,2559,162,11,0,0,1
10156560754491277,7238,874,36,2,0,0
10156560389931277,4128,263,3,8,0,1
10156564854351277,0,0,0,0,0,0
10156556071566277,8248,1266,74,3,0,0
10156554905501277,9042,681,10,15,2,0
10156553772231277,7241,644,8,48,3,0
10156550659066277,3070,252,6,1,0,0
10156547766996277,473,12,1,0,0,0
2623812387704562,107,6,0,0,0,0
10156546783761277,1591,89,0,2,0,0
10156545814466277,913,79,2,5,1,3
10156545466911277,7466,732,17,1528,3,1
10156543966921277,4373,400,11,2,0,0
1425836567584975,4796,869,13,0,6,0
10156543608331277,0,0,0,0,0,0
10156543584666277,2856,221,3,1,0,0
10156543043376277,2769,211,3,1,12,0
10156541140331277,2948,258,8,4,1,0
10156541008166277,4527,405,0,7,1,0
10156540915541277,3161,299,17,13,0,0
10156540826266277,8123,261,8,42,14,5
10156539429291277,5074,196,66,542,141,362
203872460788822,1063,26,7,39,77,113
10156539262486277,4986,57,101,808,366,1305
10156539216286277,3247,221,5,28,8,16
10156539114071277,5477,510,24,17,2,2
10156539095206277,10557,1418,36,21,4,2
"10156539048331277"",""10156538698386277",0,0,0,0,0,0
10156538979021277,914,94,3,12,0,4
10156538903831277,7981,1688,25,1649,4,6
10156538494336277,1760,183,1,3,0,0
10156538107776277,1134,241,0,5,0,1
10156537894261277,14759,2357,150,81,3,0
10156536845756277,3065,346,4,1,0,0
10156536735256277,726,55,0,12,0,0
10156536224736277,538,16,1,0,0,0
10156535985301277,1327,27,9,1,140,4
10156535814261277,783,67,2,2,0,0
10156534101836277,1676,100,2,0,1,0
10156533025111277,3288,88,5,9,1,0
10156531610421277,2919,109,6,7,0,0
10156531281196277,10882,212,25,14,0,0
10156531298271277,0,0,0,0,0,0
10156531229981277,3656,132,6,5,0,2
"10156530787696277"",""10156530787466277",0,0,0,0,0,0
10156531115541277,3822,94,6,22,14,11
10156531035956277,3353,175,7,5,0,2
10156530989376277,1769,41,7,9,4,4
10156530770931277,4649,237,16,9,3,10
10156528300456277,1221,49,1,1,0,1
10156528611821277,1288,44,1,2,3,2
10156528236516277,46944,3573,494,92,8,6
10156523793686277,2638,143,10,6,1,1
10156524429361277,3791,456,7,14,1,0
10156523764526277,21435,3432,217,22,12,0
10156523644351277,18851,694,78,18,2,4
10156522041246277,6740,599,13,38,0,0
10156522017571277,1262,67,2,0,0,1
10156521795496277,5657,305,37,44,4,3
10156521171616277,25036,3811,215,28,12,0
10156520054956277,1416,137,5,3,1,0
10156520047871277,414,16,0,0,0,0
10156519805931277,5588,182,38,11,0,3
10156516657636277,9304,635,45,20,0,1
10156515004336277,7310,408,18,36,0,2
10156514965876277,1022,93,4,1,0,0
10156514386986277,24669,2121,460,27,2,2
10156514466621277,0,0,0,0,0,0
10156514425896277,4112,204,8,5,0,1
10156514376506277,1341,77,3,3,1,0
"10156513845376277"",""10156513556291277",0,0,0,0,0,0
10156514208696277,9555,621,9,53,0,7
10156514050736277,4093,283,16,5,0,0
10156513794841277,3662,98,15,21,14,92
10156513623381277,2958,177,5,5,2,5
10156511335416277,1566,61,2,8,1,15
10156511326001277,10459,1368,126,12,3,0
10156511228361277,3061,76,48,25,283,23
10156510941781277,389,11,0,0,0,0
10156508970116277,2522,96,4,37,1,13
10156508724276277,0,0,0,0,0,0
